prefecture,name,phone,postal_code,address
北海道,HALL SPIRITUAL LOUNGE,011-221-9199,060-0062,札幌市中央区南2西4丁目10番地 ラージカントリービルB1F
北海道,札幌ペニーレーン,011-644-1911,063-0804,北海道札幌市西区二十四軒4条5丁目5-21W'Sビル
北海道,KLUB COUNTER ACTION,011-222-1413,060-0062,札幌市中央区南2西1広和ビル2F
北海道,北見夕焼けまつり,0157-23-5819,090-0043,北見市3条2丁目AMビル3F
北海道,札幌 Sound Lab mole,011-207-5101,060-0063,北海道札幌市中央区南３条西２丁目１４
北海道,札幌 BESSIE HALL,011-221-6076,064-0804,北海道札幌市中央区南４条西６丁目
北海道,苫小牧ELLCUBE,0144-35-0501,053-0027,北海道苫小牧市王子町1丁目6番12号
北海道,Zepp Sapporo,011-532-6969,064-0809,北海道札幌市中央区南9条西4-4
北海道,サッポロファクトリーホール Sound Lab Mole,011-207-5233,060-0032,北海道札幌市北二条東3丁目
北海道,札幌COLONY,011-532-3329,064-0807,北海道札幌市中央区南七条西4丁目LC拾壱番館B1F
北海道,札幌KRAPS HALL,011-518-5522,064-0804,北海道札幌市中央区南四条西6丁目5タイムズステーション札幌 1階
北海道,札幌Club Garden,011-210-9500,060-0032,北海道札幌市中央区北2条東3丁目2-5
青森県,青森 / 八戸ROXX,0178-46-1889,031-0001,青森県八戸市類家堤端84 デンデンビル 2F
青森県,青森Quarter,017-777-4770,030-0803,青森県青森市安方2丁目11-3
青森県,弘前マグネット,0172-38-1236,036-8355,"青森県弘前市元寺町35
 オリオンビル2階"
青森県,弘前亀HOUSE,0172-39-1362,036-8174,弘前市富野町9-10
秋田県,秋田 クラブ スウィンドル,018-865-7150,010-0921,秋田市大町2丁目2-3 アキタスカイホテルB1F
秋田県,秋田ジョイナス,018-837-1173,010-0875,秋田市千秋明徳町2-52
山形県,山形MUSIC FACTORY,0234-24-8502,998-0824,山形県酒田市相生町2-1-6
岩手県,大船渡LIVEHOUSE FREAKS,0192-47-5552,022-0002,岩手県大船渡市大船渡町字茶屋前57-6 おおふなと夢商店街C棟1号
岩手県,盛岡Club Change,019-652-7182,020-0871,岩手県盛岡市中ノ橋通2-12-14 山王ビル3F
岩手県,盛岡club change WAVE,019-613-6618,020-0022,盛岡市大通り一丁目11-12 ヒグチビル B1
岩手県,宮古 KLUB COUNTERACTION,0193-77-4567,027-0083,宮古市大通2-6-11
宮城県,仙台PARK SQUARE,022-267-0433,980-0014,仙台市青葉区本町3-2-1ハーフムーンビルB1
宮城県,仙台darwin,022-714-6107,980-0811,宮城県仙台市青葉区一番町3-9-13 DATE ONEビルB1F
