scheduled_at,artist_name,prefecture_name,event_site_name
2015-07-17,MY FIRST STORY,東京,新木場STUDIO COAST
2015-07-19,MY FIRST STORY,北海道,北海道いわみざわ公園
2015-08-02,MY FIRST STORY,茨城,国営ひたち海浜公園
2015-08-15,MY FIRST STORY,大阪,舞洲サマーソニック大阪特設会場
2015-08-16,MY FIRST STORY,千葉,QVCマリンフィールド&幕張メッセ
2015-08-28,MY FIRST STORY,神奈川,川崎CLUB CITTA
2015-07-25,AnotherStory,東京,渋谷O-nest
2015-08-22,AnotherStory,愛知,名古屋DIAMOND-HALL
2015-07-17,SWANKY DANK,東京,新木場STUDIO COAST
2015-07-19,SWANKY DANK,北海道,北海道いわみざわ公園
2015-07-26,SWANKY DANK,千葉,千葉LOOK
2015-08-02,SWANKY DANK,茨城,国営ひたち海浜公園
2015-08-16,SWANKY DANK,大阪,舞洲サマーソニック大阪特設会場
